,Mean Final Price,Median Final Price,Min Final Price,Max Final Price,Std Dev of Final Prices
GBM,22856.708113980058,21981.654485037598,7474.540292699567,81307.2648887059,6455.137396434643
Merton,23316.85197936564,22243.01390609039,7185.200585869395,110606.05119120063,7325.155618229307
Heston,21729.813010347338,21124.980843504527,5066.5500210084565,61577.3461092548,6427.499456698369
